forecast_window,target,task,model,metric,value,n_test
May-Jun,yield_t_ha,regression,HistoricalMeanImprovedFeatures,MAE,0.6832091978473597,149
May-Jun,yield_t_ha,regression,HistoricalMeanImprovedFeatures,RMSE,0.9614447123179034,149
May-Jun,yield_t_ha,regression,HistoricalMeanImprovedFeatures,R2,0.4230688859871726,149
May-Jun,yield_t_ha,regression,Ridge,MAE,0.5728494071955574,149
May-Jun,yield_t_ha,regression,Ridge,RMSE,0.7470145760044083,149
May-Jun,yield_t_ha,regression,Ridge,R2,0.6517160328869225,149
May-Jun,yield_t_ha,regression,ElasticNet,MAE,0.5448909745099275,149
May-Jun,yield_t_ha,regression,ElasticNet,RMSE,0.7209526037960298,149
May-Jun,yield_t_ha,regression,ElasticNet,R2,0.6755940881985308,149
May-Jun,yield_t_ha,regression,HistGradientBoosting,MAE,0.5961958128557017,149
May-Jun,yield_t_ha,regression,HistGradientBoosting,RMSE,0.8344969855995767,149
May-Jun,yield_t_ha,regression,HistGradientBoosting,R2,0.5653648207177036,149
May-Jun,yield_t_ha,regression,LightGBM,MAE,0.6312855837345428,149
May-Jun,yield_t_ha,regression,LightGBM,RMSE,0.8516769948172058,149
May-Jun,yield_t_ha,regression,LightGBM,R2,0.547284709132239,149
May-Jun,yield_t_ha,regression,CatBoost,MAE,0.6135516946928522,149
May-Jun,yield_t_ha,regression,CatBoost,RMSE,0.8279282952439041,149
May-Jun,yield_t_ha,regression,CatBoost,R2,0.5721802976975527,149
May-Jun,yield_shortfall,regression,HistoricalMeanImprovedFeatures,MAE,0.613296683056354,149
May-Jun,yield_shortfall,regression,HistoricalMeanImprovedFeatures,RMSE,0.8233386254350032,149
May-Jun,yield_shortfall,regression,HistoricalMeanImprovedFeatures,R2,-0.2258690386207014,149
May-Jun,yield_shortfall,regression,Ridge,MAE,0.5717969413417139,149
May-Jun,yield_shortfall,regression,Ridge,RMSE,0.7595708020883465,149
May-Jun,yield_shortfall,regression,Ridge,R2,-0.04333462501136087,149
May-Jun,yield_shortfall,regression,ElasticNet,MAE,0.5507216106100742,149
May-Jun,yield_shortfall,regression,ElasticNet,RMSE,0.7446872886901028,149
May-Jun,yield_shortfall,regression,ElasticNet,R2,-0.002847688642962254,149
May-Jun,yield_shortfall,regression,HistGradientBoosting,MAE,0.6025161093156195,149
May-Jun,yield_shortfall,regression,HistGradientBoosting,RMSE,0.7915956900014511,149
May-Jun,yield_shortfall,regression,HistGradientBoosting,R2,-0.13316705122077632,149
May-Jun,yield_shortfall,regression,LightGBM,MAE,0.6128847193205247,149
May-Jun,yield_shortfall,regression,LightGBM,RMSE,0.7905994739407951,149
May-Jun,yield_shortfall,regression,LightGBM,R2,-0.13031668483321512,149
May-Jun,yield_shortfall,regression,CatBoost,MAE,0.6240563860908872,149
May-Jun,yield_shortfall,regression,CatBoost,RMSE,0.8058234455633543,149
May-Jun,yield_shortfall,regression,CatBoost,R2,-0.1742671034809311,149
May-Jun,low_yield_risk,classification,LogisticRegression,ROC_AUC,0.47571341833636915,149
May-Jun,low_yield_risk,classification,LogisticRegression,PR_AUC,0.17331540305520607,149
May-Jun,low_yield_risk,classification,LogisticRegression,Brier,0.16484553709629954,149
May-Jun,low_yield_risk,classification,LogisticRegression,F1_at_0.5,0.0,149
May-Jun,low_yield_risk,classification,LogisticRegression,Recall_at_0.5,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,PRECISION,0.1875,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,RECALL,0.5555555555555556,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,F1,0.2803738317757009,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,BRIER,0.16484553709629954,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,ROC_AUC,0.47571341833636915,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,PR_AUC,0.17331540305520607,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,PRECISION,0.1875,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,RECALL,0.5555555555555556,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,F1,0.2803738317757009,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,BRIER,0.16484553709629954,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,ROC_AUC,0.47571341833636915,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,PR_AUC,0.17331540305520607,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,PRECISION,0.09090909090909091,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,RECALL,0.07407407407407407,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,F1,0.08163265306122448,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,BRIER,0.16484553709629954,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,ROC_AUC,0.47571341833636915,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,PR_AUC,0.17331540305520607,149
May-Jun,low_yield_risk,classification,HistGradientBoostingClassifier,ROC_AUC,0.5425015179113539,149
May-Jun,low_yield_risk,classification,HistGradientBoostingClassifier,PR_AUC,0.1952635979481617,149
May-Jun,low_yield_risk,classification,HistGradientBoostingClassifier,Brier,0.15118105606464358,149
May-Jun,low_yield_risk,classification,HistGradientBoostingClassifier,F1_at_0.5,0.0,149
May-Jun,low_yield_risk,classification,HistGradientBoostingClassifier,Recall_at_0.5,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,PRECISION,0.19696969696969696,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,RECALL,0.9629629629629629,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,F1,0.3270440251572327,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,BRIER,0.15118105606464358,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,ROC_AUC,0.5425015179113539,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,PR_AUC,0.1952635979481617,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,PRECISION,0.19696969696969696,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,RECALL,0.9629629629629629,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,F1,0.3270440251572327,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,BRIER,0.15118105606464358,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,ROC_AUC,0.5425015179113539,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,PR_AUC,0.1952635979481617,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,PRECISION,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,RECALL,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,F1,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,BRIER,0.15118105606464358,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,ROC_AUC,0.5425015179113539,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,PR_AUC,0.1952635979481617,149
May-Jun,low_yield_risk,classification,LightGBMClassifier,ROC_AUC,0.4996964177292047,149
May-Jun,low_yield_risk,classification,LightGBMClassifier,PR_AUC,0.18058831555192106,149
May-Jun,low_yield_risk,classification,LightGBMClassifier,Brier,0.15218293738627361,149
May-Jun,low_yield_risk,classification,LightGBMClassifier,F1_at_0.5,0.0,149
May-Jun,low_yield_risk,classification,LightGBMClassifier,Recall_at_0.5,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,PRECISION,0.18032786885245902,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,RECALL,0.8148148148148148,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,F1,0.2953020134228188,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,BRIER,0.15218293738627361,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,ROC_AUC,0.4996964177292047,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,PR_AUC,0.18058831555192106,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_recall_ge_0_5,PRECISION,0.18032786885245902,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_recall_ge_0_5,RECALL,0.8148148148148148,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_recall_ge_0_5,F1,0.2953020134228188,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_recall_ge_0_5,BRIER,0.15218293738627361,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_recall_ge_0_5,ROC_AUC,0.4996964177292047,149
